id_venda,data_venda,cliente,produto,categoria,quantidade,preco_unitario,vendedor,cidade,estado
29,2024-08-04,Olivia,Livro SQL,Livros,3,106.57,Ana,São Paulo,SP
30,2024-02-10,Catarina,Teclado,Eletrônicos,4,153.21,Bruno,Curitiba,RS
31,2024-03-05,Francisco,Mouse,Eletrônicos,1,84.84,Daniela,Curitiba,RS
32,2024-12-09,Ísis,Livro SQL,Livros,1,109.74,Eduardo,Belo Horizonte,RS
33,2024-03-03,Bárbara,Notebook,Eletrônicos,1,3289.1,Ana,Porto Alegre,MG
34,2024-06-11,Kamilly,Mesa,Móveis,3,1127.72,Ana,Belo Horizonte,PR
35,2024-09-17,Heitor,Teclado,Eletrônicos,3,158.14,Daniela,São Paulo,MG
36,2024-02-10,Maria Liz,Fone,Eletrônicos,2,194.34,Bruno,Porto Alegre,SP
37,2024-11-23,Hadassa,Cadeira,Móveis,4,750.83,Eduardo,Porto Alegre,RJ
38,2024-02-17,Luigi,Teclado,Eletrônicos,4,144.93,Carlos,Rio de Janeiro,RS
39,2024-08-03,Maria Vitória,Fone,Eletrônicos,3,192.44,Ana,Porto Alegre,MG
40,2024-12-25,Davi,Livro SQL,Livros,1,104.59,Ana,São Paulo,MG
41,2024-08-14,Vitor,Cadeira,Móveis,2,754.21,Bruno,São Paulo,RJ
42,2024-05-10,Lorenzo,Mochila,Acessórios,1,196.98,Ana,São Paulo,PR
43,2024-09-11,Vinicius,Mouse,Eletrônicos,1,83.55,Eduardo,Rio de Janeiro,RJ
44,2024-07-25,Dante,Livro SQL,Livros,2,99.88,Eduardo,Rio de Janeiro,MG
45,2024-06-27,Gael Henrique,Fone,Eletrônicos,3,184.44,Eduardo,Curitiba,RJ
46,2024-08-28,Maria Eduarda,Fone,Eletrônicos,3,215.83,Bruno,Belo Horizonte,PR
47,2024-08-09,Otávio,Mesa,Móveis,4,1215.19,Daniela,Porto Alegre,PR
48,2024-08-24,Erick,Mouse,Eletrônicos,1,75.99,Bruno,Rio de Janeiro,SP
49,2024-02-05,Kamilly,Mesa,Móveis,3,1261.33,Ana,Porto Alegre,RS
50,2024-07-05,Maya,Monitor,Eletrônicos,1,823.86,Eduardo,Rio de Janeiro,SP
51,2024-03-06,Ana Luiza,Mouse,Eletrônicos,3,74.58,Ana,Rio de Janeiro,SP
52,2024-05-13,Evelyn,Notebook,Eletrônicos,2,3715.68,Carlos,São Paulo,RS
53,2024-02-13,Mariah,Monitor,Eletrônicos,4,954.66,Carlos,Curitiba,RJ
54,2024-11-26,João Lucas,Fone,Eletrônicos,4,215.7,Bruno,Porto Alegre,RS
55,2024-12-13,Gael,Livro SQL,Livros,4,106.15,Bruno,Curitiba,PR
56,2024-08-12,Gustavo Henrique,Monitor,Eletrônicos,1,867.24,Ana,São Paulo,PR
57,2024-04-30,Yuri,Mesa,Móveis,1,1134.7,Daniela,Curitiba,PR
58,2024-09-15,Léo,Notebook,Eletrônicos,4,3396.8,Ana,São Paulo,PR
59,2024-05-16,Stella,Mesa,Móveis,3,1119.52,Ana,Rio de Janeiro,RJ
60,2024-11-02,Bryan,Monitor,Eletrônicos,2,849.98,Eduardo,Curitiba,RJ
61,2024-11-10,Ágatha,Livro Python,Livros,2,116.1,Bruno,Belo Horizonte,PR
62,2024-08-20,Rael,Monitor,Eletrônicos,2,849.38,Ana,Curitiba,RS
63,2024-02-21,Lorena,Mouse,Eletrônicos,4,77.82,Ana,Porto Alegre,SP
64,2024-04-22,Carolina,Mouse,Eletrônicos,4,76.03,Bruno,Rio de Janeiro,PR
65,2024-03-21,Dom,Livro SQL,Livros,1,95.7,Daniela,Rio de Janeiro,PR
66,2024-05-09,Maria Helena,Notebook,Eletrônicos,3,3576.7,Bruno,Curitiba,SP
67,2024-08-11,Sara,Livro Python,Livros,4,109.24,Carlos,Curitiba,MG
68,2024-05-05,Lucca,Livro Python,Livros,1,123.22,Eduardo,Curitiba,RJ
69,2024-08-05,Benjamim,Monitor,Eletrônicos,2,905.57,Carlos,Rio de Janeiro,SP
70,2024-09-03,Thales,Mochila,Acessórios,4,181.9,Eduardo,São Paulo,MG
71,2024-07-02,Paulo,Notebook,Eletrônicos,4,3206.6,Ana,Porto Alegre,PR
72,2024-10-20,Isabelly,Fone,Eletrônicos,3,189.69,Eduardo,Rio de Janeiro,SP
73,2024-04-07,Matheus,Fone,Eletrônicos,4,198.81,Ana,Rio de Janeiro,SP
74,2024-08-27,Maria Luísa,Mochila,Acessórios,2,176.36,Ana,Rio de Janeiro,PR
75,2024-05-03,Valentina,Mouse,Eletrônicos,4,85.36,Eduardo,Rio de Janeiro,RS
76,2024-12-14,Stella,Mochila,Acessórios,3,168.71,Ana,Porto Alegre,SP
77,2024-12-11,Asafe,Livro Python,Livros,3,122.18,Eduardo,Porto Alegre,RS
78,2024-05-27,Aurora,Mesa,Móveis,3,1274.28,Carlos,Rio de Janeiro,MG
79,2024-05-07,Breno,Monitor,Eletrônicos,4,827.31,Carlos,Curitiba,RJ
80,2024-05-08,Augusto,Cadeira,Móveis,3,761.14,Daniela,Belo Horizonte,SP
81,2024-05-30,Eduarda,Notebook,Eletrônicos,3,3388.75,Daniela,Porto Alegre,RS
82,2024-04-08,Benício,Mouse,Eletrônicos,3,86.04,Ana,Porto Alegre,RJ
83,2024-12-11,Eloah,Fone,Eletrônicos,3,206.4,Carlos,Rio de Janeiro,MG
84,2024-02-29,João Gabriel,Mouse,Eletrônicos,4,80.88,Bruno,Belo Horizonte,MG
85,2024-10-30,Ana Laura,Teclado,Eletrônicos,1,142.26,Daniela,Porto Alegre,MG
86,2024-02-06,Pedro Miguel,Mochila,Acessórios,2,194.3,Eduardo,São Paulo,RS
87,2024-01-09,Alexia,Cadeira,Móveis,4,718.63,Ana,Rio de Janeiro,MG
88,2024-10-30,Ana Cecília,Mouse,Eletrônicos,1,77.59,Ana,Porto Alegre,RJ
89,2024-05-31,Benício,Cadeira,Móveis,4,755.6,Carlos,Porto Alegre,RJ
90,2024-04-25,Evelyn,Mesa,Móveis,2,1267.17,Bruno,Belo Horizonte,RS
91,2024-04-13,Diogo,Livro SQL,Livros,3,108.71,Carlos,São Paulo,SP
92,2024-04-21,Yuri,Livro Python,Livros,4,121.94,Carlos,São Paulo,SP
93,2024-06-01,João Gabriel,Mesa,Móveis,2,1305.63,Bruno,Belo Horizonte,RJ
94,2024-12-03,Jade,Livro SQL,Livros,1,95.68,Eduardo,Curitiba,RS
95,2024-07-26,Leonardo,Notebook,Eletrônicos,2,3634.33,Ana,São Paulo,RJ
96,2024-06-09,Ravi,Fone,Eletrônicos,1,188.97,Ana,Belo Horizonte,RS
97,2024-10-03,Maria Liz,Fone,Eletrônicos,4,189.49,Bruno,Curitiba,RJ
98,2024-05-14,Asafe,Notebook,Eletrônicos,4,3672.54,Carlos,Belo Horizonte,SP
99,2024-02-02,Brayan,Mesa,Móveis,3,1237.83,Bruno,Rio de Janeiro,SP
100,2024-01-22,Ana Júlia,Mesa,Móveis,4,1102.48,Eduardo,Curitiba,RS
101,2024-08-17,Bianca,Teclado,Eletrônicos,2,152.7,Bruno,Rio de Janeiro,RJ
102,2024-09-20,Antônio,Livro Python,Livros,1,119.68,Ana,Rio de Janeiro,MG
103,2024-10-03,Anthony Gabriel,Livro Python,Livros,3,118.43,Bruno,Belo Horizonte,RJ
104,2024-11-12,Davi,Mouse,Eletrônicos,2,82.32,Daniela,São Paulo,PR
105,2024-02-04,Ana Júlia,Monitor,Eletrônicos,4,860.54,Bruno,Curitiba,MG
106,2024-01-17,Allana,Cadeira,Móveis,4,720.37,Bruno,Rio de Janeiro,SP
107,2024-02-15,Ana Laura,Monitor,Eletrônicos,4,979.28,Daniela,Belo Horizonte,MG
108,2024-08-20,Davi Lucca,Mouse,Eletrônicos,1,86.14,Carlos,Belo Horizonte,RS
109,2024-10-28,Eloá,Livro Python,Livros,1,130.28,Eduardo,Belo Horizonte,SP
110,2024-07-06,Breno,Mouse,Eletrônicos,1,81.16,Carlos,Rio de Janeiro,RS
111,2024-09-09,Yuri,Cadeira,Móveis,1,640.55,Ana,São Paulo,RS
112,2024-06-09,Luiz Miguel,Livro Python,Livros,1,112.58,Carlos,Belo Horizonte,PR
113,2024-01-18,Ana Carolina,Mochila,Acessórios,4,179.47,Eduardo,São Paulo,PR
114,2024-02-23,Alexia,Mochila,Acessórios,1,176.21,Bruno,Belo Horizonte,SP
115,2024-06-22,Eduarda,Livro Python,Livros,2,130.32,Ana,Porto Alegre,RS
116,2024-12-07,Rafael,Monitor,Eletrônicos,4,847.61,Carlos,Curitiba,SP
117,2024-06-03,Catarina,Mesa,Móveis,3,1113.62,Eduardo,Belo Horizonte,SP
118,2024-09-29,Maria Luiza,Cadeira,Móveis,2,752.83,Eduardo,Belo Horizonte,PR
119,2024-10-25,Enzo,Mesa,Móveis,4,1247.28,Daniela,Belo Horizonte,RS
120,2024-06-18,Davi Miguel,Teclado,Eletrônicos,2,145.78,Bruno,Curitiba,PR
121,2024-11-01,Anthony,Teclado,Eletrônicos,3,147.59,Eduardo,Porto Alegre,MG
122,2024-11-11,Caleb,Livro Python,Livros,1,122.68,Eduardo,São Paulo,MG
123,2024-02-05,Gabrielly,Cadeira,Móveis,2,630.73,Bruno,Curitiba,RS
124,2024-09-20,Guilherme,Mochila,Acessórios,1,168.99,Carlos,Curitiba,PR
125,2024-05-21,Heitor,Livro SQL,Livros,4,97.94,Bruno,Porto Alegre,PR
126,2024-05-22,Kamilly,Teclado,Eletrônicos,4,161.6,Ana,Belo Horizonte,RS
127,2024-10-14,Ana,Mochila,Acessórios,4,182.84,Carlos,São Paulo,RJ
128,2024-02-20,Marina,Cadeira,Móveis,3,724.08,Bruno,Rio de Janeiro,RJ
129,2024-07-08,Luísa,Notebook,Eletrônicos,1,3258.53,Ana,Rio de Janeiro,PR
130,2024-02-27,Yuri,Mochila,Acessórios,1,192.2,Ana,Curitiba,PR
131,2024-06-18,Nathan,Mochila,Acessórios,2,171.01,Bruno,Curitiba,PR
132,2024-04-10,Breno,Livro Python,Livros,2,115.28,Bruno,Rio de Janeiro,SP
133,2024-02-29,Anna Liz,Mouse,Eletrônicos,1,85.25,Daniela,Rio de Janeiro,RJ
134,2024-04-12,Olivia,Fone,Eletrônicos,4,218.61,Daniela,São Paulo,RS
135,2024-12-15,Cecilia,Monitor,Eletrônicos,4,961.56,Ana,Curitiba,RJ
136,2024-11-03,Nicolas,Livro SQL,Livros,3,103.99,Eduardo,Porto Alegre,RS
137,2024-05-03,Camila,Mesa,Móveis,4,1314.2,Daniela,Porto Alegre,RS
138,2024-05-24,Manuela,Livro Python,Livros,2,115.75,Eduardo,Curitiba,RJ
139,2024-04-01,Manuella,Livro SQL,Livros,4,95.42,Daniela,Belo Horizonte,RJ
140,2024-08-16,Bárbara,Cadeira,Móveis,2,640.98,Eduardo,Curitiba,RJ
141,2024-10-05,Samuel,Cadeira,Móveis,2,764.77,Daniela,São Paulo,MG
142,2024-05-08,Juan,Monitor,Eletrônicos,3,935.28,Carlos,Belo Horizonte,MG
143,2024-08-26,Vicente,Fone,Eletrônicos,2,216.61,Ana,Rio de Janeiro,RJ
144,2024-04-27,Igor,Monitor,Eletrônicos,2,853.16,Daniela,Rio de Janeiro,RJ
145,2024-08-24,Levi,Mouse,Eletrônicos,4,74.93,Daniela,Curitiba,MG
146,2024-07-07,Isadora,Fone,Eletrônicos,1,205.53,Daniela,Curitiba,SP
147,2024-03-09,Ian,Monitor,Eletrônicos,3,928.28,Daniela,Curitiba,RS
148,2024-03-16,Ana Beatriz,Notebook,Eletrônicos,2,3661.03,Eduardo,Curitiba,PR
149,2024-03-26,Heloisa,Notebook,Eletrônicos,2,3399.18,Carlos,Belo Horizonte,PR
150,2024-08-07,Maria,Livro Python,Livros,1,116.21,Eduardo,Porto Alegre,RS
151,2024-04-03,Antônio,Monitor,Eletrônicos,1,826.95,Daniela,Rio de Janeiro,MG
152,2024-07-22,Laura,Livro Python,Livros,2,131.51,Daniela,São Paulo,PR
153,2024-12-06,Enzo,Mesa,Móveis,4,1103.48,Daniela,Rio de Janeiro,PR
154,2024-09-10,Vitor,Teclado,Eletrônicos,3,145.39,Eduardo,Porto Alegre,SP
155,2024-09-06,Noah,Livro Python,Livros,2,123.59,Eduardo,Porto Alegre,SP
156,2024-04-09,Rafael,Mouse,Eletrônicos,2,87.19,Daniela,Rio de Janeiro,PR
157,2024-09-06,Caleb,Teclado,Eletrônicos,2,142.83,Ana,Belo Horizonte,PR
158,2024-09-13,Danilo,Mesa,Móveis,3,1200.75,Bruno,Curitiba,MG
159,2024-01-04,Sophia,Mesa,Móveis,4,1238.09,Daniela,Belo Horizonte,PR
160,2024-09-03,Lara,Cadeira,Móveis,4,639.88,Ana,Curitiba,SP
161,2024-06-08,Agatha,Fone,Eletrônicos,2,181.06,Ana,Belo Horizonte,RJ
162,2024-06-26,Enzo,Mouse,Eletrônicos,3,84.82,Ana,São Paulo,RJ
163,2024-06-27,Davi Lucca,Monitor,Eletrônicos,3,925.79,Ana,Porto Alegre,RJ
164,2024-11-18,Bruno,Monitor,Eletrônicos,3,979.46,Bruno,Curitiba,SP
165,2024-11-25,Manuela,Mochila,Acessórios,1,196.6,Bruno,Curitiba,MG
166,2024-01-12,Laura,Mesa,Móveis,3,1126.99,Bruno,Porto Alegre,RS
167,2024-09-09,Theo,Mouse,Eletrônicos,3,78.04,Bruno,Belo Horizonte,SP
168,2024-08-02,João Pedro,Mochila,Acessórios,3,184.26,Ana,Belo Horizonte,RS
169,2024-04-02,Gabriela,Livro Python,Livros,1,123.74,Daniela,Rio de Janeiro,SP
170,2024-04-24,Marcela,Mochila,Acessórios,2,186.54,Bruno,São Paulo,MG
171,2024-11-09,Otto,Mochila,Acessórios,1,179.86,Ana,Porto Alegre,SP
172,2024-03-15,Henry Gabriel,Mesa,Móveis,1,1163.6,Eduardo,Curitiba,MG
173,2024-08-04,Mirella,Mouse,Eletrônicos,1,72.63,Eduardo,Belo Horizonte,SP
174,2024-06-12,Ágatha,Livro Python,Livros,1,131.22,Daniela,São Paulo,PR
175,2024-07-10,Rafaela,Mesa,Móveis,2,1181.63,Daniela,Rio de Janeiro,PR
176,2024-02-05,Bruna,Teclado,Eletrônicos,3,164.72,Eduardo,Belo Horizonte,RS
177,2024-04-05,Ísis,Fone,Eletrônicos,2,190.0,Daniela,Curitiba,PR
178,2024-08-11,Ana Júlia,Mochila,Acessórios,4,193.22,Carlos,Belo Horizonte,RJ
179,2024-07-01,Anna Liz,Mouse,Eletrônicos,1,75.82,Carlos,Curitiba,RJ
180,2024-12-20,Brayan,Livro SQL,Livros,1,104.8,Eduardo,Porto Alegre,PR
181,2024-03-02,Olívia,Mesa,Móveis,1,1170.65,Ana,Curitiba,MG
182,2024-12-07,Benício,Teclado,Eletrônicos,4,159.79,Daniela,Rio de Janeiro,MG
183,2024-06-25,Bianca,Cadeira,Móveis,1,755.37,Carlos,Belo Horizonte,RS
184,2024-08-20,Paulo,Cadeira,Móveis,4,631.52,Eduardo,São Paulo,RS
185,2024-10-10,Lorena,Monitor,Eletrônicos,3,826.43,Ana,Rio de Janeiro,PR
186,2024-02-21,Alana,Livro SQL,Livros,2,103.54,Eduardo,Rio de Janeiro,PR
187,2024-05-23,Aylla,Livro SQL,Livros,3,99.86,Daniela,São Paulo,SP
188,2024-01-25,Vitor Hugo,Cadeira,Móveis,1,642.84,Bruno,Curitiba,RJ
189,2024-02-22,Davi Lucca,Cadeira,Móveis,4,724.15,Eduardo,Belo Horizonte,PR
190,2024-02-08,Arthur Miguel,Fone,Eletrônicos,3,211.25,Eduardo,Belo Horizonte,PR
191,2024-07-04,Cecília,Fone,Eletrônicos,1,217.24,Carlos,Belo Horizonte,PR
192,2024-05-01,Letícia,Cadeira,Móveis,3,769.43,Carlos,Belo Horizonte,RJ
193,2024-08-08,Antônio,Mouse,Eletrônicos,1,83.79,Bruno,Belo Horizonte,SP
194,2024-08-26,Arthur Miguel,Fone,Eletrônicos,3,208.23,Bruno,Rio de Janeiro,RJ
195,2024-09-09,Cauê,Livro SQL,Livros,4,103.76,Carlos,Porto Alegre,RS
196,2024-05-20,Hadassa,Mochila,Acessórios,2,165.03,Carlos,São Paulo,RJ
197,2024-10-09,Maria Fernanda,Cadeira,Móveis,4,640.19,Bruno,Belo Horizonte,RJ
198,2024-01-29,Letícia,Cadeira,Móveis,2,650.52,Ana,Porto Alegre,RJ
199,2024-05-15,Isaque,Cadeira,Móveis,1,662.65,Ana,São Paulo,RS
200,2024-12-07,Thales,Cadeira,Móveis,4,750.84,Bruno,Curitiba,SP
201,2024-11-22,Manuella,Notebook,Eletrônicos,4,3315.68,Eduardo,Belo Horizonte,PR
202,2024-10-18,Liz,Livro SQL,Livros,1,101.84,Daniela,Belo Horizonte,RJ
203,2024-10-01,Anthony Gabriel,Notebook,Eletrônicos,2,3645.73,Carlos,Curitiba,SP
204,2024-06-15,Theodoro,Mouse,Eletrônicos,1,78.05,Daniela,Curitiba,SP
205,2024-01-19,Davi Lucca,Mochila,Acessórios,3,170.95,Ana,Rio de Janeiro,RJ
206,2024-06-21,Leandro,Mochila,Acessórios,3,177.64,Carlos,São Paulo,RJ
207,2024-05-05,Lucas Gabriel,Mouse,Eletrônicos,1,78.48,Eduardo,Curitiba,RS
208,2024-11-12,Oliver,Mochila,Acessórios,2,188.68,Eduardo,Rio de Janeiro,RS
209,2024-01-01,Emanuel,Livro Python,Livros,3,123.58,Daniela,Curitiba,MG
210,2024-07-08,Luiz Otávio,Mochila,Acessórios,3,183.0,Daniela,Belo Horizonte,RS
211,2024-11-07,João Gabriel,Mochila,Acessórios,1,175.5,Ana,Porto Alegre,SP
212,2024-05-13,Antonella,Monitor,Eletrônicos,1,850.25,Bruno,Belo Horizonte,SP
213,2024-06-08,Esther,Teclado,Eletrônicos,2,135.36,Bruno,Rio de Janeiro,RS
214,2024-05-28,Pedro Miguel,Mouse,Eletrônicos,1,72.69,Bruno,São Paulo,PR
215,2024-07-21,Eloah,Livro SQL,Livros,4,100.55,Eduardo,Curitiba,MG
216,2024-08-14,Enzo,Notebook,Eletrônicos,4,3201.66,Bruno,Belo Horizonte,MG
217,2024-02-16,Eduarda,Livro SQL,Livros,3,109.39,Ana,Rio de Janeiro,MG
218,2024-05-22,Maria Alice,Mochila,Acessórios,1,169.81,Bruno,Curitiba,SP
219,2024-02-23,Ravy,Fone,Eletrônicos,3,219.83,Bruno,Rio de Janeiro,MG
220,2024-01-12,Gael,Teclado,Eletrônicos,2,146.53,Ana,São Paulo,RJ
221,2024-12-23,Heloisa,Cadeira,Móveis,2,763.06,Eduardo,Porto Alegre,MG
222,2024-01-08,Sarah,Livro SQL,Livros,4,92.14,Ana,Curitiba,MG
223,2024-03-30,Stephany,Livro Python,Livros,2,112.51,Carlos,Porto Alegre,RS
224,2024-06-26,Bruna,Livro SQL,Livros,4,97.07,Daniela,São Paulo,RS
225,2024-02-10,Rael,Notebook,Eletrônicos,4,3204.41,Daniela,Belo Horizonte,RS
226,2024-05-24,Murilo,Cadeira,Móveis,4,768.07,Ana,São Paulo,RJ
227,2024-07-30,Liam,Mochila,Acessórios,1,173.14,Eduardo,São Paulo,MG
228,2024-02-15,Maitê,Mochila,Acessórios,1,186.65,Ana,Rio de Janeiro,PR
229,2024-03-22,Vitor Hugo,Fone,Eletrônicos,3,212.9,Daniela,Belo Horizonte,RJ
230,2024-10-29,Cauã,Mochila,Acessórios,3,188.13,Daniela,Curitiba,SP
231,2024-11-07,Raquel,Livro SQL,Livros,1,98.36,Carlos,Curitiba,MG
232,2024-12-30,Bianca,Mesa,Móveis,2,1287.86,Ana,Rio de Janeiro,MG
233,2024-10-15,Bernardo,Livro Python,Livros,1,108.63,Daniela,Belo Horizonte,PR
234,2024-08-11,Pedro Lucas,Fone,Eletrônicos,2,212.42,Ana,Curitiba,SP
235,2024-12-06,Maria Clara,Mesa,Móveis,3,1116.1,Carlos,Belo Horizonte,SP
236,2024-12-07,Nina,Livro Python,Livros,2,117.14,Eduardo,São Paulo,RS
237,2024-04-07,Maria Luísa,Livro SQL,Livros,3,106.84,Daniela,São Paulo,RJ
238,2024-11-06,Lucca,Fone,Eletrônicos,1,196.59,Carlos,Porto Alegre,PR
239,2024-07-15,Juliana,Livro SQL,Livros,2,103.83,Ana,Rio de Janeiro,MG
240,2024-09-15,Maria Luísa,Fone,Eletrônicos,3,210.0,Bruno,Belo Horizonte,PR
241,2024-02-22,Letícia,Livro SQL,Livros,1,101.7,Ana,São Paulo,RS
242,2024-03-23,Hellena,Monitor,Eletrônicos,1,946.27,Bruno,Belo Horizonte,RS
243,2024-01-01,Luan,Notebook,Eletrônicos,1,3318.76,Eduardo,Curitiba,SP
244,2024-09-16,Ana Lívia,Monitor,Eletrônicos,3,859.45,Ana,Curitiba,SP
245,2024-10-14,Catarina,Teclado,Eletrônicos,2,161.35,Daniela,Belo Horizonte,RS
246,2024-03-12,Guilherme,Cadeira,Móveis,2,680.14,Daniela,Curitiba,PR
247,2024-06-10,Evelyn,Monitor,Eletrônicos,3,930.88,Daniela,Porto Alegre,RJ
248,2024-11-01,Maria Isis,Livro Python,Livros,2,126.54,Bruno,Porto Alegre,RS
249,2024-08-23,Clara,Teclado,Eletrônicos,4,159.49,Ana,Belo Horizonte,PR
250,2024-09-07,Antônio,Mesa,Móveis,1,1101.22,Eduardo,Belo Horizonte,SP
251,2024-09-11,Igor,Cadeira,Móveis,1,712.59,Carlos,Porto Alegre,RS
252,2024-08-16,Calebe,Livro SQL,Livros,3,98.41,Bruno,Curitiba,RS
253,2024-03-15,Gabrielly,Livro SQL,Livros,1,102.79,Carlos,Belo Horizonte,RS
254,2024-07-10,Davi Lucca,Fone,Eletrônicos,3,216.13,Daniela,Curitiba,MG
255,2024-11-01,Luiz Miguel,Monitor,Eletrônicos,4,986.48,Bruno,Porto Alegre,PR
256,2024-11-30,Maria Cecília,Monitor,Eletrônicos,2,924.6,Daniela,São Paulo,MG
257,2024-11-03,Gael Henrique,Livro SQL,Livros,3,91.82,Daniela,Curitiba,RJ
258,2024-11-30,Carlos Eduardo,Livro SQL,Livros,1,100.28,Ana,Rio de Janeiro,RS
259,2024-04-15,Gabriela,Mochila,Acessórios,4,172.73,Carlos,São Paulo,PR
260,2024-10-11,Ana Vitória,Mouse,Eletrônicos,3,83.16,Eduardo,Curitiba,SP
261,2024-11-25,Luigi,Teclado,Eletrônicos,4,148.78,Daniela,Rio de Janeiro,SP
262,2024-03-09,Marina,Livro SQL,Livros,1,95.16,Carlos,Belo Horizonte,RS
263,2024-07-23,Gabriela,Livro Python,Livros,2,122.9,Ana,Belo Horizonte,RS
264,2024-08-27,Carolina,Livro Python,Livros,2,123.2,Carlos,Curitiba,RS
265,2024-09-05,Ana Lívia,Notebook,Eletrônicos,3,3203.1,Eduardo,São Paulo,RJ
266,2024-04-04,Rafael,Cadeira,Móveis,3,647.93,Bruno,São Paulo,PR
267,2024-01-08,Calebe,Mouse,Eletrônicos,3,74.22,Ana,Curitiba,RJ
268,2024-07-02,André,Cadeira,Móveis,4,655.46,Ana,São Paulo,MG
269,2024-07-13,Maria Cecília,Notebook,Eletrônicos,1,3777.75,Carlos,Belo Horizonte,MG
270,2024-03-01,Davi,Livro Python,Livros,3,124.02,Bruno,Rio de Janeiro,RS
271,2024-10-03,Ana Lívia,Livro Python,Livros,2,113.37,Eduardo,Rio de Janeiro,RJ
272,2024-06-18,Marcelo,Teclado,Eletrônicos,1,145.35,Ana,Porto Alegre,PR
273,2024-11-21,Mathias,Mochila,Acessórios,1,163.14,Bruno,Curitiba,RS
274,2024-01-12,Breno,Teclado,Eletrônicos,1,151.03,Bruno,Curitiba,MG
275,2024-03-18,João,Livro SQL,Livros,2,107.88,Carlos,São Paulo,PR
276,2024-03-13,Antonella,Cadeira,Móveis,2,726.66,Eduardo,Rio de Janeiro,SP
277,2024-04-30,Natália,Livro SQL,Livros,2,105.99,Carlos,Porto Alegre,MG
278,2024-12-15,Marina,Livro Python,Livros,2,109.96,Carlos,Curitiba,MG
279,2024-03-01,Laura,Monitor,Eletrônicos,3,975.76,Daniela,Curitiba,SP
280,2024-09-13,Davi Lucas,Monitor,Eletrônicos,1,859.84,Daniela,Porto Alegre,MG
281,2024-09-09,Renan,Mochila,Acessórios,4,188.94,Carlos,Belo Horizonte,SP
282,2024-05-06,Luana,Livro Python,Livros,4,113.02,Carlos,São Paulo,RS
283,2024-01-28,Felipe,Notebook,Eletrônicos,4,3489.17,Eduardo,Curitiba,MG
284,2024-12-30,Bella,Monitor,Eletrônicos,3,905.63,Eduardo,Belo Horizonte,RJ
285,2024-11-07,Maysa,Monitor,Eletrônicos,2,816.6,Eduardo,Belo Horizonte,RJ
286,2024-04-20,Maria Isis,Mouse,Eletrônicos,3,83.41,Ana,Belo Horizonte,PR
287,2024-08-26,Carolina,Notebook,Eletrônicos,3,3508.17,Eduardo,Belo Horizonte,RJ
